id,nombre_receta,calorias,proteinas,grasas,carbohidratos,ingredientes,tiempo_min,saludable,etiqueta,tipo_preparacion
1,Receta 1,459,13.2,16.2,46.4,"yogur, zanahoria, avena",55,1,baja en grasas,elaborado
2,Receta 2,694,24.4,26,4.1,"zanahoria, avena, platano",44,1,baja en grasas,elaborado
3,Receta 3,462,8.6,24,24.3,"huevo, pescado, tofu",27,1,alta en proteinas,rapido
4,Receta 4,899,5.2,10.7,64.2,"avena, zanahoria, fruta",24,1,baja en grasas,rapido
5,Receta 5,839,19.8,27.4,70.2,"aguacate, pepino, pollo",44,1,baja en carbohidratos,elaborado
6,Receta 6,317,18.9,9.1,69.3,"queso, pollo, espinaca",17,1,baja en carbohidratos,rapido
7,Receta 7,483,22,9.1,7.4,"avena, frijoles, pan integral",27,1,alta en fibra,rapido
8,Receta 8,648,35,12.5,33.7,"zanahoria, tomate, brocoli",46,1,vegetariana,elaborado
9,Receta 9,281,8.2,5,89.3,"frijoles, lentejas, manzana",31,1,alta en fibra,elaborado
10,Receta 10,873,16.8,26.9,10.6,"huevo, espinaca, aguacate",13,1,baja en carbohidratos,rapido
11,Receta 11,387,39.4,29.5,59.1,"pollo, queso, pepino",6,1,baja en carbohidratos,rapido
12,Receta 12,891,21.9,7.6,64.7,"crema, tocino, salchicha",52,0,no saludable,elaborado
13,Receta 13,343,31.3,23.1,41.7,"salchicha, crema, queso",50,0,no saludable,elaborado
14,Receta 14,322,29.4,14.6,45,"proteina vegetal, huevo, pescado",45,1,alta en proteinas,elaborado
15,Receta 15,278,30.1,25.9,45.9,"proteina vegetal, pescado, tofu",38,1,alta en proteinas,elaborado
16,Receta 16,510,37.5,28.3,85.5,"zanahoria, yogur, leche descremada",46,1,baja en grasas,elaborado
17,Receta 17,791,26.5,25.3,83.5,"zanahoria, lechuga, tomate",55,1,vegetariana,elaborado
18,Receta 18,834,12.5,7.3,55.4,"avena, platano, yogur",17,1,baja en grasas,rapido
19,Receta 19,303,35.5,7,87.2,"mantequilla, tocino, salchicha",17,0,no saludable,rapido
